For Query: currently interested in isolation of root polynomial there is an old more recent material heindel l evaluation performance system survey appraisal models computer cost utilization measure design software operating future subsystems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  R  	  0.045  	  0.200
23  	  N  	  0.043  	  0.200
24  	  N  	  0.042  	  0.200
25  	  N  	  0.040  	  0.200
26  	  N  	  0.038  	  0.200
27  	  N  	  0.037  	  0.200
28  	  N  	  0.036  	  0.200
29  	  N  	  0.034  	  0.200
30  	  N  	  0.033  	  0.200
31  	  N  	  0.032  	  0.200
32  	  N  	  0.031  	  0.200
33  	  N  	  0.030  	  0.200
34  	  N  	  0.029  	  0.200
35  	  N  	  0.029  	  0.200
36  	  N  	  0.028  	  0.200
37  	  N  	  0.027  	  0.200
38  	  N  	  0.026  	  0.200
39  	  N  	  0.026  	  0.200
40  	  N  	  0.025  	  0.200
41  	  N  	  0.024  	  0.200
42  	  N  	  0.024  	  0.200
43  	  N  	  0.023  	  0.200
44  	  N  	  0.023  	  0.200
45  	  N  	  0.022  	  0.200
46  	  N  	  0.022  	  0.200
47  	  N  	  0.021  	  0.200
48  	  N  	  0.021  	  0.200
49  	  N  	  0.020  	  0.200
50  	  N  	  0.020  	  0.200
51  	  N  	  0.020  	  0.200
52  	  N  	  0.019  	  0.200
53  	  N  	  0.019  	  0.200
54  	  N  	  0.019  	  0.200
55  	  N  	  0.018  	  0.200
56  	  N  	  0.018  	  0.200
57  	  N  	  0.018  	  0.200
58  	  N  	  0.017  	  0.200
59  	  N  	  0.017  	  0.200
60  	  N  	  0.017  	  0.200
61  	  N  	  0.016  	  0.200
62  	  N  	  0.016  	  0.200
63  	  N  	  0.016  	  0.200
64  	  N  	  0.016  	  0.200
65  	  N  	  0.015  	  0.200
66  	  N  	  0.015  	  0.200
67  	  N  	  0.015  	  0.200
68  	  N  	  0.015  	  0.200
69  	  N  	  0.014  	  0.200
70  	  N  	  0.014  	  0.200
71  	  N  	  0.014  	  0.200
72  	  N  	  0.014  	  0.200
73  	  N  	  0.014  	  0.200
74  	  R  	  0.027  	  0.400
75  	  N  	  0.027  	  0.400
76  	  N  	  0.026  	  0.400
77  	  N  	  0.026  	  0.400
78  	  N  	  0.026  	  0.400
79  	  N  	  0.025  	  0.400
80  	  N  	  0.025  	  0.400
81  	  N  	  0.025  	  0.400
82  	  N  	  0.024  	  0.400
83  	  N  	  0.024  	  0.400
84  	  N  	  0.024  	  0.400
85  	  N  	  0.024  	  0.400
86  	  N  	  0.023  	  0.400
87  	  R  	  0.034  	  0.600
88  	  N  	  0.034  	  0.600
89  	  N  	  0.034  	  0.600
90  	  N  	  0.033  	  0.600
91  	  N  	  0.033  	  0.600
92  	  N  	  0.033  	  0.600
93  	  N  	  0.032  	  0.600
94  	  N  	  0.032  	  0.600
95  	  N  	  0.032  	  0.600
96  	  N  	  0.031  	  0.600
97  	  N  	  0.031  	  0.600
98  	  N  	  0.031  	  0.600
99  	  N  	  0.030  	  0.600
100  	  N  	  0.030  	  0.600
