For Query: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  R  	  0.444  	  0.800
10  	  R  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  R  	  0.462  	  1.200
14  	  R  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  R  	  0.444  	  1.600
19  	  R  	  0.474  	  1.800
20  	  R  	  0.500  	  2.000
21  	  R  	  0.524  	  2.200
22  	  R  	  0.545  	  2.400
23  	  N  	  0.522  	  2.400
24  	  N  	  0.500  	  2.400
25  	  N  	  0.480  	  2.400
26  	  R  	  0.500  	  2.600
27  	  R  	  0.519  	  2.800
28  	  N  	  0.500  	  2.800
29  	  N  	  0.483  	  2.800
30  	  N  	  0.467  	  2.800
31  	  N  	  0.452  	  2.800
32  	  N  	  0.438  	  2.800
33  	  N  	  0.424  	  2.800
34  	  N  	  0.412  	  2.800
35  	  N  	  0.400  	  2.800
36  	  N  	  0.389  	  2.800
37  	  N  	  0.378  	  2.800
38  	  N  	  0.368  	  2.800
39  	  N  	  0.359  	  2.800
40  	  R  	  0.375  	  3.000
41  	  R  	  0.390  	  3.200
42  	  N  	  0.381  	  3.200
43  	  N  	  0.372  	  3.200
44  	  N  	  0.364  	  3.200
45  	  N  	  0.356  	  3.200
46  	  N  	  0.348  	  3.200
47  	  N  	  0.340  	  3.200
48  	  N  	  0.333  	  3.200
49  	  N  	  0.327  	  3.200
50  	  N  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  N  	  0.291  	  3.200
56  	  N  	  0.286  	  3.200
57  	  N  	  0.281  	  3.200
58  	  N  	  0.276  	  3.200
59  	  N  	  0.271  	  3.200
60  	  N  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  R  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  N  	  0.250  	  3.400
69  	  N  	  0.246  	  3.400
70  	  N  	  0.243  	  3.400
71  	  N  	  0.239  	  3.400
72  	  N  	  0.236  	  3.400
73  	  N  	  0.233  	  3.400
74  	  N  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  N  	  0.224  	  3.400
77  	  N  	  0.221  	  3.400
78  	  N  	  0.218  	  3.400
79  	  N  	  0.215  	  3.400
80  	  N  	  0.212  	  3.400
81  	  N  	  0.210  	  3.400
82  	  N  	  0.207  	  3.400
83  	  N  	  0.205  	  3.400
84  	  N  	  0.202  	  3.400
85  	  N  	  0.200  	  3.400
86  	  N  	  0.198  	  3.400
87  	  N  	  0.195  	  3.400
88  	  N  	  0.193  	  3.400
89  	  N  	  0.191  	  3.400
90  	  N  	  0.189  	  3.400
91  	  N  	  0.187  	  3.400
92  	  N  	  0.185  	  3.400
93  	  N  	  0.183  	  3.400
94  	  N  	  0.181  	  3.400
95  	  N  	  0.179  	  3.400
96  	  N  	  0.177  	  3.400
97  	  N  	  0.175  	  3.400
98  	  N  	  0.173  	  3.400
99  	  N  	  0.172  	  3.400
100  	  N  	  0.170  	  3.400
