For Query: i d like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  R  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  N  	  0.067  	  0.200
16  	  N  	  0.062  	  0.200
17  	  N  	  0.059  	  0.200
18  	  N  	  0.056  	  0.200
19  	  N  	  0.053  	  0.200
20  	  N  	  0.050  	  0.200
21  	  N  	  0.048  	  0.200
22  	  N  	  0.045  	  0.200
23  	  N  	  0.043  	  0.200
24  	  N  	  0.042  	  0.200
25  	  N  	  0.040  	  0.200
26  	  N  	  0.038  	  0.200
27  	  N  	  0.037  	  0.200
28  	  N  	  0.036  	  0.200
29  	  N  	  0.034  	  0.200
30  	  N  	  0.033  	  0.200
31  	  N  	  0.032  	  0.200
32  	  N  	  0.031  	  0.200
33  	  N  	  0.030  	  0.200
34  	  N  	  0.029  	  0.200
35  	  N  	  0.029  	  0.200
36  	  N  	  0.028  	  0.200
37  	  N  	  0.027  	  0.200
38  	  N  	  0.026  	  0.200
39  	  N  	  0.026  	  0.200
40  	  N  	  0.025  	  0.200
41  	  N  	  0.024  	  0.200
42  	  N  	  0.024  	  0.200
43  	  N  	  0.023  	  0.200
44  	  N  	  0.023  	  0.200
45  	  N  	  0.022  	  0.200
46  	  N  	  0.022  	  0.200
47  	  N  	  0.021  	  0.200
48  	  N  	  0.021  	  0.200
49  	  N  	  0.020  	  0.200
50  	  N  	  0.020  	  0.200
51  	  N  	  0.020  	  0.200
52  	  N  	  0.019  	  0.200
53  	  N  	  0.019  	  0.200
54  	  N  	  0.019  	  0.200
55  	  N  	  0.018  	  0.200
56  	  N  	  0.018  	  0.200
57  	  N  	  0.018  	  0.200
58  	  N  	  0.017  	  0.200
59  	  N  	  0.017  	  0.200
60  	  N  	  0.017  	  0.200
61  	  N  	  0.016  	  0.200
62  	  N  	  0.016  	  0.200
63  	  N  	  0.016  	  0.200
64  	  N  	  0.016  	  0.200
65  	  N  	  0.015  	  0.200
66  	  N  	  0.015  	  0.200
67  	  N  	  0.015  	  0.200
68  	  N  	  0.015  	  0.200
69  	  N  	  0.014  	  0.200
70  	  N  	  0.014  	  0.200
71  	  N  	  0.014  	  0.200
72  	  N  	  0.014  	  0.200
73  	  N  	  0.014  	  0.200
74  	  N  	  0.014  	  0.200
75  	  N  	  0.013  	  0.200
76  	  N  	  0.013  	  0.200
77  	  N  	  0.013  	  0.200
78  	  N  	  0.013  	  0.200
79  	  N  	  0.013  	  0.200
80  	  N  	  0.013  	  0.200
81  	  N  	  0.012  	  0.200
82  	  N  	  0.012  	  0.200
83  	  N  	  0.012  	  0.200
84  	  N  	  0.012  	  0.200
85  	  N  	  0.012  	  0.200
86  	  N  	  0.012  	  0.200
87  	  N  	  0.011  	  0.200
88  	  N  	  0.011  	  0.200
89  	  N  	  0.011  	  0.200
90  	  N  	  0.011  	  0.200
91  	  N  	  0.011  	  0.200
92  	  N  	  0.011  	  0.200
93  	  N  	  0.011  	  0.200
94  	  N  	  0.011  	  0.200
95  	  N  	  0.011  	  0.200
96  	  N  	  0.010  	  0.200
97  	  N  	  0.010  	  0.200
98  	  N  	  0.010  	  0.200
99  	  N  	  0.010  	  0.200
100  	  N  	  0.010  	  0.200
