For Query: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  R  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  N  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  N  	  0.250  	  1.600
33  	  N  	  0.242  	  1.600
34  	  N  	  0.235  	  1.600
35  	  N  	  0.229  	  1.600
36  	  N  	  0.222  	  1.600
37  	  N  	  0.216  	  1.600
38  	  N  	  0.211  	  1.600
39  	  N  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  R  	  0.180  	  1.800
51  	  N  	  0.176  	  1.800
52  	  N  	  0.173  	  1.800
53  	  N  	  0.170  	  1.800
54  	  N  	  0.167  	  1.800
55  	  N  	  0.164  	  1.800
56  	  N  	  0.161  	  1.800
57  	  N  	  0.158  	  1.800
58  	  N  	  0.155  	  1.800
59  	  N  	  0.153  	  1.800
60  	  N  	  0.150  	  1.800
61  	  N  	  0.148  	  1.800
62  	  N  	  0.145  	  1.800
63  	  N  	  0.143  	  1.800
64  	  N  	  0.141  	  1.800
65  	  N  	  0.138  	  1.800
66  	  N  	  0.136  	  1.800
67  	  N  	  0.134  	  1.800
68  	  N  	  0.132  	  1.800
69  	  N  	  0.130  	  1.800
70  	  N  	  0.129  	  1.800
71  	  N  	  0.127  	  1.800
72  	  N  	  0.125  	  1.800
73  	  R  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  N  	  0.122  	  2.000
83  	  N  	  0.120  	  2.000
84  	  N  	  0.119  	  2.000
85  	  N  	  0.118  	  2.000
86  	  N  	  0.116  	  2.000
87  	  N  	  0.115  	  2.000
88  	  N  	  0.114  	  2.000
89  	  N  	  0.112  	  2.000
90  	  N  	  0.111  	  2.000
91  	  N  	  0.110  	  2.000
92  	  N  	  0.109  	  2.000
93  	  N  	  0.108  	  2.000
94  	  N  	  0.106  	  2.000
95  	  N  	  0.105  	  2.000
96  	  R  	  0.115  	  2.200
97  	  N  	  0.113  	  2.200
98  	  N  	  0.112  	  2.200
99  	  N  	  0.111  	  2.200
100  	  N  	  0.110  	  2.200
