For Query: papers design implementation editing interfaces window managers command interpreters essential issues human interface design views improvements user efficiency effectiveness satisfaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  N  	  0.067  	  0.200
16  	  N  	  0.062  	  0.200
17  	  N  	  0.059  	  0.200
18  	  N  	  0.056  	  0.200
19  	  N  	  0.053  	  0.200
20  	  N  	  0.050  	  0.200
21  	  N  	  0.048  	  0.200
22  	  N  	  0.045  	  0.200
23  	  R  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  N  	  0.080  	  0.400
26  	  N  	  0.077  	  0.400
27  	  N  	  0.074  	  0.400
28  	  N  	  0.071  	  0.400
29  	  N  	  0.069  	  0.400
30  	  N  	  0.067  	  0.400
31  	  N  	  0.065  	  0.400
32  	  N  	  0.062  	  0.400
33  	  N  	  0.061  	  0.400
34  	  R  	  0.088  	  0.600
35  	  N  	  0.086  	  0.600
36  	  N  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  N  	  0.071  	  0.600
43  	  N  	  0.070  	  0.600
44  	  N  	  0.068  	  0.600
45  	  N  	  0.067  	  0.600
46  	  N  	  0.065  	  0.600
47  	  N  	  0.064  	  0.600
48  	  N  	  0.062  	  0.600
49  	  N  	  0.061  	  0.600
50  	  N  	  0.060  	  0.600
51  	  N  	  0.059  	  0.600
52  	  N  	  0.058  	  0.600
53  	  N  	  0.057  	  0.600
54  	  N  	  0.056  	  0.600
55  	  N  	  0.055  	  0.600
56  	  N  	  0.054  	  0.600
57  	  N  	  0.053  	  0.600
58  	  N  	  0.052  	  0.600
59  	  N  	  0.051  	  0.600
60  	  N  	  0.050  	  0.600
61  	  N  	  0.049  	  0.600
62  	  N  	  0.048  	  0.600
63  	  N  	  0.048  	  0.600
64  	  N  	  0.047  	  0.600
65  	  N  	  0.046  	  0.600
66  	  N  	  0.045  	  0.600
67  	  N  	  0.045  	  0.600
68  	  R  	  0.059  	  0.800
69  	  R  	  0.072  	  1.000
70  	  N  	  0.071  	  1.000
71  	  N  	  0.070  	  1.000
72  	  N  	  0.069  	  1.000
73  	  N  	  0.068  	  1.000
74  	  N  	  0.068  	  1.000
75  	  N  	  0.067  	  1.000
76  	  N  	  0.066  	  1.000
77  	  N  	  0.065  	  1.000
78  	  N  	  0.064  	  1.000
79  	  N  	  0.063  	  1.000
80  	  N  	  0.062  	  1.000
81  	  N  	  0.062  	  1.000
82  	  N  	  0.061  	  1.000
83  	  N  	  0.060  	  1.000
84  	  N  	  0.060  	  1.000
85  	  N  	  0.059  	  1.000
86  	  N  	  0.058  	  1.000
87  	  N  	  0.057  	  1.000
88  	  N  	  0.057  	  1.000
89  	  N  	  0.056  	  1.000
90  	  N  	  0.056  	  1.000
91  	  N  	  0.055  	  1.000
92  	  N  	  0.054  	  1.000
93  	  N  	  0.054  	  1.000
94  	  N  	  0.053  	  1.000
95  	  N  	  0.053  	  1.000
96  	  N  	  0.052  	  1.000
97  	  N  	  0.052  	  1.000
98  	  N  	  0.051  	  1.000
99  	  N  	  0.051  	  1.000
100  	  N  	  0.050  	  1.000
