For Query: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  R  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  N  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  R  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  R  	  0.450  	  1.800
21  	  R  	  0.476  	  2.000
22  	  N  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  N  	  0.400  	  2.000
26  	  R  	  0.423  	  2.200
27  	  R  	  0.444  	  2.400
28  	  N  	  0.429  	  2.400
29  	  N  	  0.414  	  2.400
30  	  N  	  0.400  	  2.400
31  	  N  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  N  	  0.343  	  2.400
36  	  N  	  0.333  	  2.400
37  	  N  	  0.324  	  2.400
38  	  N  	  0.316  	  2.400
39  	  N  	  0.308  	  2.400
40  	  N  	  0.300  	  2.400
41  	  N  	  0.293  	  2.400
42  	  N  	  0.286  	  2.400
43  	  N  	  0.279  	  2.400
44  	  N  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  N  	  0.261  	  2.400
47  	  N  	  0.255  	  2.400
48  	  N  	  0.250  	  2.400
49  	  N  	  0.245  	  2.400
50  	  N  	  0.240  	  2.400
51  	  N  	  0.235  	  2.400
52  	  N  	  0.231  	  2.400
53  	  N  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  N  	  0.211  	  2.400
58  	  N  	  0.207  	  2.400
59  	  N  	  0.203  	  2.400
60  	  N  	  0.200  	  2.400
61  	  N  	  0.197  	  2.400
62  	  N  	  0.194  	  2.400
63  	  N  	  0.190  	  2.400
64  	  N  	  0.188  	  2.400
65  	  N  	  0.185  	  2.400
66  	  N  	  0.182  	  2.400
67  	  N  	  0.179  	  2.400
68  	  N  	  0.176  	  2.400
69  	  N  	  0.174  	  2.400
70  	  N  	  0.171  	  2.400
71  	  N  	  0.169  	  2.400
72  	  N  	  0.167  	  2.400
73  	  N  	  0.164  	  2.400
74  	  N  	  0.162  	  2.400
75  	  N  	  0.160  	  2.400
76  	  N  	  0.158  	  2.400
77  	  N  	  0.156  	  2.400
78  	  N  	  0.154  	  2.400
79  	  N  	  0.152  	  2.400
80  	  N  	  0.150  	  2.400
81  	  N  	  0.148  	  2.400
82  	  N  	  0.146  	  2.400
83  	  N  	  0.145  	  2.400
84  	  N  	  0.143  	  2.400
85  	  N  	  0.141  	  2.400
86  	  N  	  0.140  	  2.400
87  	  N  	  0.138  	  2.400
88  	  N  	  0.136  	  2.400
89  	  N  	  0.135  	  2.400
90  	  N  	  0.133  	  2.400
91  	  R  	  0.143  	  2.600
92  	  N  	  0.141  	  2.600
93  	  N  	  0.140  	  2.600
94  	  N  	  0.138  	  2.600
95  	  N  	  0.137  	  2.600
96  	  N  	  0.135  	  2.600
97  	  N  	  0.134  	  2.600
98  	  N  	  0.133  	  2.600
99  	  N  	  0.131  	  2.600
100  	  N  	  0.130  	  2.600
