For Query: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  R  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  R  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  R  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  N  	  0.167  	  0.600
19  	  N  	  0.158  	  0.600
20  	  N  	  0.150  	  0.600
21  	  N  	  0.143  	  0.600
22  	  N  	  0.136  	  0.600
23  	  N  	  0.130  	  0.600
24  	  N  	  0.125  	  0.600
25  	  N  	  0.120  	  0.600
26  	  R  	  0.154  	  0.800
27  	  N  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  N  	  0.118  	  0.800
35  	  N  	  0.114  	  0.800
36  	  N  	  0.111  	  0.800
37  	  N  	  0.108  	  0.800
38  	  N  	  0.105  	  0.800
39  	  N  	  0.103  	  0.800
40  	  N  	  0.100  	  0.800
41  	  N  	  0.098  	  0.800
42  	  N  	  0.095  	  0.800
43  	  N  	  0.093  	  0.800
44  	  N  	  0.091  	  0.800
45  	  N  	  0.089  	  0.800
46  	  N  	  0.087  	  0.800
47  	  N  	  0.085  	  0.800
48  	  N  	  0.083  	  0.800
49  	  N  	  0.082  	  0.800
50  	  N  	  0.080  	  0.800
51  	  N  	  0.078  	  0.800
52  	  N  	  0.077  	  0.800
53  	  N  	  0.075  	  0.800
54  	  N  	  0.074  	  0.800
55  	  N  	  0.073  	  0.800
56  	  N  	  0.071  	  0.800
57  	  N  	  0.070  	  0.800
58  	  N  	  0.069  	  0.800
59  	  N  	  0.068  	  0.800
60  	  N  	  0.067  	  0.800
61  	  N  	  0.066  	  0.800
62  	  N  	  0.065  	  0.800
63  	  N  	  0.063  	  0.800
64  	  N  	  0.062  	  0.800
65  	  N  	  0.062  	  0.800
66  	  N  	  0.061  	  0.800
67  	  N  	  0.060  	  0.800
68  	  N  	  0.059  	  0.800
69  	  N  	  0.058  	  0.800
70  	  N  	  0.057  	  0.800
71  	  N  	  0.056  	  0.800
72  	  R  	  0.069  	  1.000
73  	  N  	  0.068  	  1.000
74  	  N  	  0.068  	  1.000
75  	  N  	  0.067  	  1.000
76  	  N  	  0.066  	  1.000
77  	  N  	  0.065  	  1.000
78  	  N  	  0.064  	  1.000
79  	  N  	  0.063  	  1.000
80  	  N  	  0.062  	  1.000
81  	  N  	  0.062  	  1.000
82  	  N  	  0.061  	  1.000
83  	  N  	  0.060  	  1.000
84  	  N  	  0.060  	  1.000
85  	  N  	  0.059  	  1.000
86  	  N  	  0.058  	  1.000
87  	  N  	  0.057  	  1.000
88  	  N  	  0.057  	  1.000
89  	  R  	  0.067  	  1.200
90  	  N  	  0.067  	  1.200
91  	  N  	  0.066  	  1.200
92  	  N  	  0.065  	  1.200
93  	  N  	  0.065  	  1.200
94  	  N  	  0.064  	  1.200
95  	  N  	  0.063  	  1.200
96  	  N  	  0.062  	  1.200
97  	  N  	  0.062  	  1.200
98  	  N  	  0.061  	  1.200
99  	  N  	  0.061  	  1.200
100  	  N  	  0.060  	  1.200
